"text","answer"
11,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [a], [c], [c], [c], [c], [c], [c], [c], [c], c, c, c, c, c, a, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
12,"[c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
13,"c, c, c, a, c, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
14,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
15,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c]"
16,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c]"
17,"[c], [c], [c], [a], [c], [a], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], c, c, c, c, c, c, c"
18,"c, c, c, a, c, c, c, c, c, c, c, c, c, a, a, c, c, a, c, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, a, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, a, a, a, a, c, a, [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [a], [a], [a], [a], [c], [a], [a], [a], [a], [c], [a], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c]"
19,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, c, c, c, c, c, c, c, c, c, c, [c], [c], [c], [c], [c], [c], [c]"
20,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
21,"[c], [c], [c], [c], [c], [a], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [a], [c], c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c]"
